stride,sum,time (msec),rate (MB/s)
1,1000000.000000,0.852000,8954.688417
2,1000000.000000,1.010000,7553.855972
3,1000000.000000,1.425000,5353.961075
4,1000000.000000,1.952000,3908.501297
5,1000000.000000,2.062000,3699.997348
6,1000000.000000,2.506000,3044.451130
7,1000000.000000,3.156000,2417.425390
8,1000000.000000,3.211000,2376.018228
9,1000000.000000,3.668000,2079.987604
10,1000000.000000,3.954000,1929.538324
11,1000000.000000,4.028000,1894.090003
12,1000000.000000,4.966000,1536.325923
13,1000000.000000,4.502000,1694.667821
14,1000000.000000,4.834000,1578.277727
15,1000000.000000,5.770000,1322.252085
16,1000000.000000,4.869000,1566.932539
17,1000000.000000,5.283000,1444.140551
18,1000000.000000,5.635000,1353.929819
19,1000000.000000,5.076000,1503.032808
20,1000000.000000,5.392000,1414.947057
