U,ms,sum
1,2.665135,500006.610053
2,1.369638,500006.610053
3,0.955429,500006.610053
4,0.851912,500006.610053
5,0.774525,500006.610053
6,0.763293,500006.610053
7,0.855099,500006.610053
8,0.768484,500006.610053
9,0.794372,500006.610053
10,0.787350,500006.610053
11,0.760979,500006.610053
12,0.856972,500006.610053
13,0.791627,500006.610053
14,0.805423,500006.610053
15,0.784093,500006.610053
16,0.774124,500006.610053
17,0.862452,500006.610053
18,0.797077,500006.610053
19,0.787870,500006.610053
20,0.756651,500006.610053
21,0.755468,500006.610053
22,0.831473,500006.610053
23,0.759597,500006.610053
24,0.754045,500006.610053
25,0.851271,500006.610053
26,0.780045,500006.610053
27,0.816315,500006.610053
28,0.769536,500006.610053
29,0.762501,500006.610053
30,0.793090,500006.610053
31,0.760828,500006.610053
32,0.882881,500006.610053
