N,Processors,fs,Amdahl_Speedup,Gustafson_Speedup,Efficiency
128,1,4.183333377929451e-05,1.0,1.0,1.0
128,2,4.183333377929451e-05,1.9999163368323507,1.9999581666662207,0.9999581684161754
128,4,4.183333377929451e-05,3.9994980629877444,3.999874499998662,0.9998745157469361
128,8,4.183333377929451e-05,7.997658019118434,7.999707166663545,0.9997072523898043
128,16,4.183333377929451e-05,15.989966296042269,15.99937249999331,0.9993728935026418
128,32,4.183333377929451e-05,31.95855508004521,31.99870316665284,0.9987048462514128
128,64,4.183333377929451e-05,63.831771364774745,63.9973644999719,0.9973714275746054
256,1,1.0712106827317385e-05,1.0,1.0,1.0
256,2,1.0712106827317385e-05,1.9999785760158413,1.9999892878931727,0.9999892880079206
256,4,1.0712106827317385e-05,3.9998714588489124,3.999967863679518,0.9999678647122281
256,8,1.0712106827317385e-05,7.999400166995997,7.999925015252209,0.9999250208744996
256,16,1.0712106827317385e-05,15.997429507392315,15.99983931839759,0.9998393442120197
256,32,1.0712106827317385e-05,31.989377117624276,31.999667924688353,0.9996680349257586
256,64,1.0712106827317385e-05,63.95683791375562,63.99932513726988,0.9993255924024316
512,1,2.6971261211609563e-06,1.0,1.0,1.0
512,2,2.6971261211609563e-06,1.9999946057623068,1.999997302873879,0.9999973028811534
512,4,2.6971261211609563e-06,3.999967634748425,3.9999919086216367,0.9999919086871063
512,8,2.6971261211609563e-06,7.99984896378876,7.999981120117152,0.999981120473595
512,16,2.6971261211609563e-06,15.999352715918022,15.999959543108183,0.9999595447448764
512,32,2.6971261211609563e-06,31.9973246745742,31.999916389090245,0.9999163960804438
512,64,2.6971261211609563e-06,63.98912703500222,63.99983008105437,0.9998301099219097
